01/12/2022 11:03:46 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:04:08 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:04:44 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:05:36 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:05:44 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:06:25 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:06:29 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:06:38 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:06:43 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:07:03 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:07:16 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:09:22 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:09:30 AM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
01/12/2022 11:09:52 AM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
01/12/2022 11:09:57 AM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
01/12/2022 11:12:02 AM : SECURITY - Log out [1, admin@email.com, 127.0.0.1]
01/12/2022 11:12:08 AM : SECURITY - Log in [1, admin@email.com, 127.0.0.1]
01/12/2022 11:16:46 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:16:58 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:17:02 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:17:46 AM : SECURITY - Carbon data committed to database [(2, '127.0.0.1')]
01/12/2022 11:18:13 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:18:17 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:18:31 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:18:35 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:18:45 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:18:49 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:19:17 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:19:22 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:19:40 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:19:44 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:19:51 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:20:03 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:20:35 AM : SECURITY - Carbon data committed to database [(2, '127.0.0.1')]
01/12/2022 11:21:35 AM : SECURITY - Log out [2, test@user.com, 127.0.0.1]
01/12/2022 11:21:40 AM : SECURITY - Log in [2, test@user.com, 127.0.0.1]
01/12/2022 11:22:26 AM : SECURITY - Carbon data committed to database [(2, '127.0.0.1')]
